molecule_chembl_id,canonical_smiles,standard_value,standard_units,molecule_pref_name
CHEMBL330621,Cc1ccc(Nc2ncc(-c3ccccc3)s2)nc1,19.0,nM,
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,360.0,nM,
CHEMBL98896,c1ccc(-c2cnc(Nc3cnccn3)s2)cc1,23.0,nM,
CHEMBL98653,c1ccc(-c2cnc(Nc3cccnc3)s2)cc1,240.0,nM,
CHEMBL319065,Cc1ccnc(Nc2ncc(-c3ccccc3)s2)c1,6.0,nM,
CHEMBL328644,c1ccc(Nc2ncc(-c3ccccc3)s2)cc1,124.0,nM,
CHEMBL98385,Cc1cccc(Nc2ncc(-c3ccccc3)s2)n1,10.0,nM,
CHEMBL419082,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O,1000.0,nM,
CHEMBL318728,c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,134.0,nM,GW549390X
CHEMBL307982,CC(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,430.0,nM,
CHEMBL98633,O=C(Nc1ncc(-c2ccccc2)s1)c1ccccc1,81.0,nM,
CHEMBL431073,c1ccc(-c2cnc(Nc3ccncn3)s2)cc1,36.0,nM,
CHEMBL98995,COc1cccnc1Nc1ncc(-c2ccccc2)s1,46.0,nM,
CHEMBL98996,COc1ccnc(Nc2ncc(-c3ccccc3)s2)c1,11.0,nM,
CHEMBL329713,Cc1cccnc1Nc1ncc(-c2ccccc2)s1,13.0,nM,
CHEMBL100174,CCCCN(C)c1ccc(/N=N/c2ncc([N+](=O)[O-])s2)c(C)c1,151.0,nM,
CHEMBL69129,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,85.0,nM,
CHEMBL98538,c1ccc(-c2cnc(Nc3ccccn3)s2)cc1,7.0,nM,
CHEMBL97888,c1ccc(-c2cnc(Nc3ccncc3)s2)cc1,259.0,nM,
CHEMBL99832,COc1cccc(Nc2ncc(-c3ccccc3)s2)n1,3.0,nM,
CHEMBL69827,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CC(O)C(O)C1,270.0,nM,
CHEMBL101464,Brc1cccc(Nc2ncc(-c3ccccc3)s2)n1,14.0,nM,
CHEMBL319789,Clc1ccc(Nc2ncc(-c3ccccc3)s2)nc1,35.0,nM,
CHEMBL97889,Brc1cnc(Nc2ccccn2)s1,71.0,nM,
CHEMBL98475,c1ccc(-c2cnc(Nc3ccc(CN4CCCC4)cn3)s2)cc1,6.0,nM,
CHEMBL420087,Clc1cnc(Nc2ccccn2)s1,194.0,nM,
CHEMBL69358,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,300.0,nM,
CHEMBL101544,N#Cc1cnc(Nc2ccccn2)s1,36.0,nM,
CHEMBL308672,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,40.0,nM,
CHEMBL101924,c1ccc(-c2cnc(Nc3ncccn3)s2)cc1,137.0,nM,
CHEMBL432941,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,70.0,nM,
CHEMBL420609,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,380.0,nM,
CHEMBL431996,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,4.0,nM,
CHEMBL88771,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,50.0,nM,
CHEMBL91815,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,30.0,nM,
CHEMBL328029,O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,480.0,nM,
CHEMBL314995,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,30.0,nM,
CHEMBL88483,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,30.0,nM,
CHEMBL89363,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,20.0,nM,
CHEMBL276711,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,700.0,nM,SEMAXANIB
CHEMBL89010,O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,20.0,nM,
CHEMBL86531,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,600.0,nM,
